abstract,title,authors,session,all_keyword_ids,paper_id,session_name,stream,timeslot,track,stream_name,schedule,day,time,start_time,end_time,date,room,keywords,track_code
"This study investigates the effects of uncertainty in time-to-build and regulation, which hinders immediate revenue generation after investment, on a firm's optimal investment decision. We show that in the absence of regulation, uncertainty in time-to-build always accelerates investment and enhances firm value. We also show that in the absence of time-to-build, uncertainty in regulation can mitigate the distortion of investment induced by regulation. Furthermore, in the presence of both time-to-build and regulation, there can exist harmless regulation that does not induce any distortion in the investment decision and does not harm firm value. Lastly, in the presence of both time-to-build and regulation, not only uncertainty in time-to-build but also its presence can accelerate investment.","Time-to-build, regulation, and investment",[58094],92,"[45, 33, 44]",24,Real Option Analysis,8,15,57,Real Option Analysis,"Wednesday, 14:30-16:00",W,D,14:30,16:00,2024-07-03,S06 [building - 101],"['Financial Modelling', 'Economic Modeling', 'Finance and Banking']",WD-57
"
The Menu Planning Problem [MPP] has gained increasing attention in recent years, driven by the need to address the complex interplay between nutrition, cost, palatability and environmental sustainability in our diets. This work presents an approach to fully incorporate these considerations using a Wierzbicky Achievement Function [WAF]. The MPP is a multi-objective optimization challenge that aims to generate daily menus that are not only nutritious and affordable but also palatable and environmentally sustainable. Traditional approaches have focused primarily on cost and nutritional aspects, often neglecting the environmental impact of food choices. However, there is a growing urgency to integrate sustainability into the MPP. This holistic approach results in a tri-objective problem that is optimized by using a WAF, a versatile tool that enables the simultaneous optimization of multiple conflicting objectives, to balance the trade-offs between cost, palatability, and environmental impact effectively. By assigning a wide range of weights to each objective, we can find menus that represent a diverse level of compromise between the objectives. Our research shows the effectiveness of this approach by generating an extensive Pareto Front of solutions, offering a spectrum of menu choices that cater to different sets of preferences. This study provides a valuable framework for incorporating multiple considerations into the MPP, paving the way for more responsible dietary choices.",Including Sustainability into the Menu Planning Problem using a Wierzbicky Achievement Function,"[65641, 47384, 24309]",380,"[14, 84, 100]",25,Sustainable Food Supply,78,14,13,Secure & Sustainable Food Supply,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,15 [building - 116],"['Combinatorial Optimization', 'Optimization Modeling', 'OR in Sustainability']",WC-13
"In response to recent global fluctuations, companies are turning to reverse logistics to minimize waste and increase production capacity. Implementing a reverse supply chain [RSC] is not without challenges, including obtaining e-waste with the right quality, preventing fraud, and disposing of sensitive information securely. Counterfeit electronic parts are a significant threat to the reliability and safety of electronic equipment, highlighting the need for traceable systems to prevent and detect fraudulent activities and protect consumers. Blockchain technology [BCT] offers several characteristics to address these issues while bringing several challenges. It embraces substantial investments, encompassing technological assets and the development of requisite infrastructure. Cultural and governance issues also influence the willingness of all supply chain parties to collaborate on BCT investment. To address these challenges, we model an evolutionary game to investigate the following research questions - how does parties' adoption tendency in the semiconductor industry evolve, considering technical cost, partners' collaboration, and the ultimate goal of achieving complete transparency through BCT adoption? What is the impact of external factors, including cryptocurrency fluctuations and evolving consumer behaviors, on parties' decision-making processes in RSC, particularly concerning their adoption or non-adoption of Blockchain technology?",Reverse Supply Chain in the Semiconductor Industry - Examining the Blockchain Implementation,"[78684, 53902, 70943, 31749, 16518]",7,"[125, 138, 50]",28,"Circular Economy, Remanufacturing and Recycling",18,2,23,"Circular Economy, Remanufacturing and Recycling ","Monday, 8:30-10:00",M,A,8:30,10:00,2024-07-01,82 [building - 116],"['Reverse Logistics / Remanufacturing', 'Supply Chain Management', 'Game Theory']",MA-23
"This study explores how operational decisions regarding a quality-differentiated product line determines the overall success of a multiproduct planning in airline market by using optimized integrated gradients of global airline industry from 2012-2022. Data visualization techniques are assigned to define contours and color shades in product and service design due to seat configuration, space allocation, seat design in time variants. In order to understand product variety dimensions, airline decisions are sliced into multiple cubic dimensions and assigned into different contoured colors, due to constrained in capacity in cabin deck and seat options, the density of colors returns individual decision made by each airline for given origin-destination of flight operations. The results suggested that critical areas of optimal product line choice are dependent not only on price discrimination and segmentation strategy, but the airlines with efficient aircraft layout favors service differentiation strategy in order to perform well in the airline market. The study reveals the interconnected relationship between constraint decisions and operational outcomes, shedding light on how factors such as space for passenger interactions, efficient seat configuration design, and in-flight seat design collectively impact both market share and load factors.",Big Data Visualization to Unveil Key Differentiated Service Dimensions of the Airlines Performances in COVID-19 Aftermath,[71527],256,"[4, 130, 85]",29,Airplane Boarding,85,8,54,Public Transport Optimization,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,S01 [building - 101],"['Airline Applications', 'Service Operations', 'OR and the Arts\xa0']",TB-54
"Recently, improving the infrastructure for Electric vehicles [EVs] has been a major focus of organizations around the world. In this study, we present a service network design framework to improve the infrastructure for EVs with quality-of-service constraints taken into consideration. We present a novel charging station location model with capacity allocation, and we consider the community impact in locating these stations. First, we present descriptive analysis of community impact of charging stations in the United Staes. Then, we highlight how charging times at stations affect the quality of service in the whole service system by quantifying the improvements in flow coverage while reducing waiting times, in addition to maximizing the community impact. The value of faster chargers in increasing coverage and reducing the average waiting times is also highlighted in relation to a service provider’s budget constraints.",Locating Electric Vehicle Charging Stations and Environmental Justice ,"[62757, 75653, 75654]",580,"[5, 64, 94]",30,Location of Alternative Fuel and Charging Stations,29,3,61,Locational Analysis,"Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,S10 [building - 101],"['Algorithms', 'Location', 'OR in Environment and Climate change']",MB-61
"COVID 19 infection spread to the whole world in a short time at the end of 2019 and affected the health system of many developed and developing world countries negatively. Türkiye was one of the most negatively affected countries in the world. In this paper we evaluated the performance of 81 provinces and 7 regions of Türkiye against COVID-19 disease using efficiency score which was calculated by data envelopment analysis [DEA] and compared the efficiency score with the different models which are used to evaluate the efficiency of healthcare system. We took input parameters as public health expenditure in a million, number of hospitals, number of hospital beds, percentage of health workers, population density, and number of infected. We divided output parameters into good and bad categories such as the number of recovered are taken as good output. The number of death is taken as bad outputs. Finally, the provinces and regions are ranked with the super efficiency score aand evaluated benchmarking for each states and regions.",Evaluation of Healthcare Systems during COVID-19 Pandemic in Türkiye,[16635],970,"[56, 24, 35]",34,DEA in healthcare,3,3,17,OR in Health Services [ORAHS],"Monday, 10:30-12:00",M,B,10:30,12:00,2024-07-01,40 [building - 116],"['Health Care', 'Data Envelopment Analysis', 'Efficiency Analysis']",MB-17
"The most relevant task for the implementation of the Balanced Scorecard is the mapping of strategies since it provides a structure to demonstrate how strategies link the intangible properties of an organization with the value creation process, in turn; it shows how the objectives of the different perspectives are related to achieving the vision. This research contributes to models and cutting-edge methodologies in the context of the systematic development of strategic maps of organizations through the creation of a framework to help in decision-making. Our objective is the design of a methodology that supports the construction of strategic maps in organizations through the implementation of multi-criteria decision making and optimization methods that allow for establishing and reducing causal relationships between the strategic objectives of the 4 perspectives of the BSC [Learning and Growth, Internal Processes, Customers and Financial]and the selection of the most representative for the fulfillment of the strategy. The MCDM used to meet the objective was DEMATEL determining the causal relationships and the effects of the variables of the strategic map with the information obtained from a group of experts. The linear programming optimization model that was applied is based on the reduction of arcs within the strategic map, eliminating the objectives that obtained the lowest rating in the expert consultation and the maximization of the selected financial objectives.",Development of strategic map [BSC] with fuzzy logic and multi-criteria optimization,"[71580, 31757, 58207, 58717]",477,"[77, 112, 137]",37,Multiple-Criteria Decision Support,45,7,45,Decision Support Systems,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,30 [building - 324],"['Multi-Objective Decision Making', 'Programming, Multi-Objective', 'Strategic Planning and Management']",TA-45
"We present a branch-and-bound method for multiobjective mixed-integer convex quadratic programs that computes a superset of efficient integer assignments and a coverage of the nondominated set. The method relies on outer approximations of the upper image set of continuous relaxations. These outer approximations are obtained addressing the dual formulations of specific subproblems where the values of certain integer variables are fixed. The devised pruning conditions and a tailored preprocessing phase allow a fast enumeration of the nodes. Despite we do not require any boundedness of the feasible set, we are able to prove that the method stops after having explored a finite number of nodes. Numerical experiments on a broad set of instances with two, three, and four objectives are presented.",Using Dual Relaxations in Multiobjective Mixed-Integer Convex Quadratic Programming,"[9249, 24206, 70992, 66903]",52,"[112, 111, 114]",38,Multiobjective Mixed-Integer Nonlinear Optimization,34,9,37,Multiobjective Optimization,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,33 [building - 306],"['Programming, Multi-Objective', 'Programming, Mixed-Integer', 'Programming, Quadratic']",TC-37
"During times of armed conflict, a number of security check-points are set up by authorities to regulate the movement of commercial and relief trucks into and out of the war region. These security check-points have become highly utilized, because of complex security procedures and increased truck traffic, which heavily slows down the delivery of relief aid. Our research aims to improve the process at the security check-points by redesigning the current process to reduce processing times and relieve congestion at check-point entrance gates. These efforts are then integrated with the proposed decision-support tool [the Clearing Function Distribution Model, CFDM] to minimize the effects of security check-point congestion on the entire humanitarian supply network using a hybrid simulation-optimization approach. Employing business process simulation, the current and re-engineered processes are both simulated, and the simulation output is used to estimate the clearing function [capacity as a function of the workload]. Our efforts will contribute to improving the planning of the humanitarian network experiencing congestion at security check-points by minimizing the impact of congestion on the delivery lead time of relief aid to the final destination. For this, the Kerem Abu Salem security check-point in the south of GAZA is used as a case study. The results show that the CFDM tool works better when the Re-engineered-Clearing function's output is applied.
",Hybrid simulation-optimization approach for planning relief-aid distribution ,"[73839, 45231, 75661]",773,"[58, 12, 131]",42,Post-Disaster Relief Distribution,38,12,21,OR in Humanitarian Operations [HOpe],"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,49 [building - 116],"['Humanitarian Applications', 'Capacity Planning', 'Simulation']",WA-21
"Business globalization and strategic sourcing have made supply chain networks become length and complex, which have increased it more vulnerable and uncertain to disruptions. Geographical wars, such as the  Russia–Ukraine war, have shown the disruptive effect of these catastrophes, which inspires me to think that traditional supply chain management fails to cope with such disruption challenges. To address these current and potentially future challenges, scholars and practitioners suggested that supply chain management must incorporate resilience, robustness, and risk management capability. There are several approaches to assessing a resilient supply chain. Due to the ambiguity of resilience assessment, most measures are described subjectively using linguistic terms. Abandon the traditional way of assessing resilience, this paper develops a Fuzzy Resilience Index in Supply Chain [FRISC] to measure the level of supply chain resilience. The FRISC comprises attribute ratings and corresponding weights and is aggregated by a fuzzy weighted average. Finally, an example is presented at the end of the paper to illustrate the procedure of the proposed method. The results show that the proposed model can provide more meaningful results to the analyst and can efficiently assist managers in dealing with both ambiguity and complexity in supply chain resilience auditing.",A Comprehensive Model for Supply Chain Resilience Measuring,"[73845, 46843]",308,"[138, 49]",46,MCDA applications,44,8,44,Multiple Criteria Decision Analysis,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,20 [building - 324],"['Supply Chain Management', 'Fuzzy Sets and Systems']",TB-44
"Retail is often the last supply chain node a product/service ‘visits’ before reaching the end customer. As a result, customers’ behavior towards different incentives is paramount to managing retail operations, which combine elements of customer relationship management, supply chain and inventory planning, product distribution and logistics, pricing, and store management. Consequently, we must acknowledge that it may be hard to adhere to the common assumptions of operations research in this context -- that all relevant variables and constraints can be identified and accounted for to achieve the ideal outcome. In this talk, we’ll give a framework and examples for conducting empirically driven operations research to improve retail operations. The “empirically driven” approach has two main components - find an empirical justification of model assumptions and parameters and perform an empirical assessment of model results and insights.",Empirically driven operations research for improving retail operations,[23114],31,"[138, 32, 130]",47,Pedro Amorim,62,5,01,Keynotes,"Monday, 14:30-16:00",M,D,14:30,16:00,2024-07-01,Sportshallen [building - 101],"['Supply Chain Management', 'E-Commerce', 'Service Operations']",MD-01
"During certain national festivities, nations occasionally grant mass prisoner pardons based on specific standards. In this study, we introduce a novel technique to determine which prisoners qualify for early release using a multi-criteria decision analysis [MCDA]. The criteria used were gender, age, crime severity, proportion of sentence completed, and behavior while in jail. Criteria weights were calculated using the analytical hierarchy process [AHP], based on data provided by the authorities. The model produced transparent and impartial results, offering decision-makers a convenient and efficient tool. ",Applying MCDA to Determine Eligibility for Pardon,[64656],122,"[6, 26]",48,Pairwise comparisons and preference relations 1,44,9,44,Multiple Criteria Decision Analysis,"Tuesday, 12:30-14:00",T,C,12:30,14:00,2024-07-02,20 [building - 324],"['Analytic Hierarchy Process', 'Decision Support Systems']",TC-44
"Health Technology Assessment [HTA] is an applied discipline which involves providing support to decision makers about the cost-effectiveness and budget impact of medical technologies, with a view to informing decisions about reimbursement in a given country’s health system.  However, HTA is itself resource-intensive, and requires analytic skills which may be scarce, particularly in low and middle-income countries.  In response, many countries have between explored with “adaptive” HTAs [aHTAs].  The idea in an aHTA is for analysts in a target country to adapt the analysis and findings from HTAs from other countries, rather than undertaking HTA de novo.  aHTA is thus less-resource intensive and quicker than full HTA, but at the expense of lower contextual relevance.  Drawing on systematic reviews and meta-analyses for a number of medical technologies, we run a series of simulations to quantify the financial and health loss of using aHTA for a typical country for a range of cost-effectiveness thresholds, and to explore the factors which drive high losses. This work is a staging post to building an optimisation model which would support a country to optimise its HTA budget across full and adaptive HTAs.","Bronze, silver or gold?  What’s the added value of investing more in the analysis of medical technologies?","[11885, 76212, 76213]",718,"[56, 0]",49,OR Innovations in Policy Making - B,26,7,13,Soft OR and Problem Structuring Methods,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,15 [building - 116],['Health Care'],TA-13
"Preventive maintenance is a very critical topic for many industries. Particularly in healthcare, often the associated costs [monetary and social] of unplanned downtimes are much higher than those coming from scheduled maintenance. However, deciding upon optimal schedules is a very complex task. Ideally, maintenance should be performed only when it is absolutely needed, minimising potential disruptions.  In this paper we collaborate with Siemens to analyse a large data set consisting in log-data obtained from Computerised Tomography [CT] scan machines, with the objective of developing preventive maintenance based on anomaly detection. Here, the end-user [e.g., Hospitals] will have to make the decision of performing such maintenance based on the model predictions [and therefore, having to re-schedule patient's appointments]. Having this into consideration we further develop explainable analytics that provide a visual representation containing warning time windows for future potential machine failures, and an explanation of why our model classifies them in that way.",Preventive maintenance for computerised tomography [CT] scan machines - an anomaly detection approach based on log-data.,[61170],72,"[7, 47, 56]",50,"Advancements of OR-analytics in statistics, machine learning and data science 1",16,2,28,"Advancements of OR-analytics in statistics, machine learning and data science","Monday, 8:30-10:00",M,A,8:30,10:00,2024-07-01,065 [building - 208],"['Analytics and Data Science', 'Forecasting', 'Health Care']",MA-28
"Set optimization is a generalization of multiobjective optimization where a value of the objective mapping is not a single vector but a set of vectors. Polyhedral convex set optimization is the simplest class of set optimization problems comparable to linear programming in the field of scalar optimization. We survey some recent developments including solution concepts, solution methods and applications.",A survey on polyhedral convex set optimization,[19168],12,"[110, 112, 26]",51,Objective Space-Based Approaches in Multiobjective Optimization,34,7,37,Multiobjective Optimization,"Tuesday, 8:30-10:00",T,A,8:30,10:00,2024-07-02,33 [building - 306],"['Programming, Linear', 'Programming, Multi-Objective', 'Decision Support Systems']",TA-37
"In this study, we analyze a variant of the well-known Bin Packing Problem where items can be fragmented and some pairs of items cannot be packed into the same bin due to conflicts. The goal is to pack a given set of items into a minimum number of fixed-capacity bins while not packing fragments of conflicting items into the same bin. This problem is called the Bin Packing Problem with Conflicts and Item Fragmentation. We develop a lower bounding scheme based on identifying a maximal clique of the conflict graph for the problem and propose a heuristic algorithm called the Sequential Maximum Degree Packing Heuristic which sequentially packs the items starting from the highest degree item using a mixed-integer model. We test the proposed solution approach on the instances with random conflict graphs and compare its performance against that of the benchmark algorithms in the literature. We observe that our approach outperforms the benchmark algorithms especially when the conflict graph is dense. It provides solutions with up to 13% less optimality gap compared to the algorithms in the literature. Finally, the proposed lower bounding scheme improves the trivial continuous lower bound only if a large maximal clique of the conflict graph can be identified.",Bin Packing Problem with Conflicts and Item Fragmentation,[41315],877,"[23, 14, 5]",54,Heuristic Algorithms for Combinatorial Optimization Problems I [Contributed],64,14,52,Combinatorial Optimization,"Wednesday, 12:30-14:00",W,C,12:30,14:00,2024-07-03,8003 [building - 202],"['Cutting and Packing', 'Combinatorial Optimization', 'Algorithms']",WC-52
"In this talk we survey some recent developments on the OR aspects of kidney exchange programmes [KEPs]. These programmes have been established in most of the Western countries in the last two decades to facilitate the exchange of living kidney donors for those recipients who have willing but immunologically incompatible donors. In the first part, we describe the European practices including the hierarchic optimisation used in the matching runs of the KEPs for computing optimal solutions. These IP-based methods have been implemented in the simulator software developed in the ENCKEP COST Action [2016-2021] and subsequently incorporated in the KEPSOFT software that provides a common IT-platform for European applications. In the second part, we describe an alternative solution concept based on the individual fairness notion of stability. We explain how this classical cooperative game theoretical concept can incentivise the recipients to register valuable donors or multiple donors in KEPs. Finally, in the third part, we present new results on international KEPs, where credit-based compensation schemes have been proposed to balance out the benefits of the countries when merging their national pools.",Optimality and fairness in kidney exchange programmes,[68355],33,"[50, 56, 111]",55,Peter Biro,62,12,01,Keynotes,"Wednesday, 8:30-10:00",W,A,8:30,10:00,2024-07-03,Sportshallen [building - 101],"['Game Theory', 'Health Care', 'Programming, Mixed-Integer']",WA-01
"Various nonlinear Conjugate Gradient [CG] schemes have been observed to improve convergence rates in single-objective optimization compared to steepest descent, without requiring second-order derivatives. Pérez and Prudente translated many of the most popular CG directions to the multi-objective case. However, in order to prove convergence, the classical CG schemes require us to assume Wolfe conditions on the step-size. In some settings, fulfilling Wolfe conditions might not be possible. Thus, we present several example directions that provide guaranteed descent in all objective functions, independent of the step-size. This enables us to prove convergence to Pareto-critical points for a simple inexact line-search algorithm with backtracking to satisfy some modified Armijo-rule.
Our special CG directions are designed to be implementable without too much computational cost, and numerical experiments show the efficacy of the algorithm.

",Multi-Objective Nonlinear Conjugate Gradient Schemes with Guaranteed Descent,"[74055, 69711]",87,"[112, 19, 110]",57,Advances in Continuous Multiobjective Optimization,34,8,37,Multiobjective Optimization,"Tuesday, 10:30-12:00",T,B,10:30,12:00,2024-07-02,33 [building - 306],"['Programming, Multi-Objective', 'Continuous Optimization', 'Programming, Linear']",TB-37
